Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
11/8/2021,1535.41,1535.41,1535.41,1535.41
11/5/2021,1531.73,1531.73,1531.73,1531.73
11/3/2021,1531.33,1531.33,1531.33,1531.33
11/2/2021,1537.63,1537.63,1537.63,1537.63
11/1/2021,1530.92,1530.92,1530.92,1530.92
10/29/21,1562.31,1562.31,1562.31,1562.31
10/28/21,1566.86,1566.86,1566.86,1566.86
10/27/21,1583.08,1583.08,1583.08,1583.08
10/26/21,1584.2,1584.2,1584.2,1584.2
10/25/21,1587.94,1587.94,1587.94,1587.94
10/22/21,1588.08,1588.08,1588.08,1588.08
10/21/21,1591.62,1591.62,1591.62,1591.62
10/20/21,1606.32,1606.32,1606.32,1606.32
10/18/21,1605.97,1605.97,1605.97,1605.97
10/15/21,1598.28,1598.28,1598.28,1598.28
10/14/21,1592.52,1592.52,1592.52,1592.52
10/13/21,1600.38,1600.38,1600.38,1600.38
10/12/2021,1583.91,1583.91,1583.91,1583.91
10/11/2021,1570.82,1570.82,1570.82,1570.82
10/8/2021,1563.9,1563.9,1563.9,1563.9
10/7/2021,1561.29,1561.29,1561.29,1561.29
10/6/2021,1559.42,1559.42,1559.42,1559.42
10/5/2021,1530.42,1530.42,1530.42,1530.42
10/4/2021,1522.47,1522.47,1522.47,1522.47
10/1/2021,1524.48,1524.48,1524.48,1524.48
09/30/21,1537.8,1537.8,1537.8,1537.8
09/29/21,1547.65,1547.65,1547.65,1547.65
09/28/21,1546.82,1546.82,1546.82,1546.82
09/27/21,1533.05,1533.05,1533.05,1533.05
09/24/21,1532.06,1532.06,1532.06,1532.06
09/23/21,1539.34,1539.34,1539.34,1539.34
09/22/21,1529.02,1529.02,1529.02,1529.02
09/21/21,1530.44,1530.44,1530.44,1530.44
09/20/21,1527.89,1527.89,1527.89,1527.89
09/17/21,1548.51,1548.51,1548.51,1548.51
09/15/21,1555.26,1555.26,1555.26,1555.26
09/14/21,1555.51,1555.51,1555.51,1555.51
09/13/21,1570.13,1570.13,1570.13,1570.13
9/10/2021,1575.97,1575.97,1575.97,1575.97
9/9/2021,1578.89,1578.89,1578.89,1578.89
9/8/2021,1597.63,1597.63,1597.63,1597.63
9/7/2021,1583.48,1583.48,1583.48,1583.48
9/6/2021,1581.59,1581.59,1581.59,1581.59
9/3/2021,1589.19,1589.19,1589.19,1589.19
9/2/2021,1582.19,1582.19,1582.19,1582.19
9/1/2021,1586.89,1586.89,1586.89,1586.89
08/30/21,1601.38,1601.38,1601.38,1601.38
08/27/21,1590.16,1590.16,1590.16,1590.16
08/26/21,1585.74,1585.74,1585.74,1585.74
08/25/21,1569.8,1569.8,1569.8,1569.8
08/24/21,1553.37,1553.37,1553.37,1553.37
